model_tag,MAE,RMSE,R2
model_1500_post_closeloop,0.0001941855853236915,0.00029660925650032026,0.9987752599576011
model_1500_pre_closeloop,0.00021899338349333717,0.0002980441250180524,0.9987633817608023
model_15000_no_closeloop,0.0001801851325891283,0.00025600869271636523,0.9990876028069196
model_15000_post_closeloop,0.0001659711395713269,0.0002795727600694102,0.9989119114888384
model_1500_random_sample,0.0002210841633088875,0.00030089194966863243,0.9987396369762387
